Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525B CJ3	Part	nose tire	9912706-1 or 9912706-2		For Parts Stocking	Stage 2			$0.00						not finding. same quest as above	
525B CJ3	Part	o-ring main tire	140-327525		For Parts Stocking	Stage 2	$129.96		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/140-327525						
525A CJ2, 525 CJ1, 525B CJ3	Tool	angle of attack test box	CJMD234-105	Cessna	Needed for Repairs	Stage 2			$0.00				In Research			
525A CJ2, 525B CJ3	Tool	cable tensionometer	T60-1001-C8-1A	Pacific Scientific Co	Needed For Standard Inspections	Stage 2	$1,250.00		$0.00	https://shop.boeing.com/aviation-supply/search?text=T60-1001-C8-1A			Own Equivilent		Not needed, alternate on hand	
525A CJ2, 525B CJ3	Tool	elevator inclinometer locator	OF49-05542 (CJMD8A27-002)	Cessna	Needed For Standard Inspections	Stage 2			$0.00				Sourcing			
525A CJ2, 525B CJ3	Tool	hydraulic manifold breakout box	6388005-1 (CJMD829-001)	Cessna	Need For Advanced Troubleshooting	Stage 2	$3,090.72		$0.00	https://pilotjohn.com/i/textron/CJMD829-001			In Research			
525A CJ2, 525B CJ3	Tool	nitrogen charger unit	99-9003-1100 (18-4200-1100)	Tronair	Optional	Stage 2	$5,553.54		$0.00	https://pilotjohn.com/new/tronair/18-4200-1100			In Research			
525A CJ2, 525B CJ3	Tool	nose gear test box	CJMD8A32-004	Cessna	Optional	Stage 2	$2,199.00		$0.00	https://aeroval.com/ref/493229/CJMD8A32-004/			In Research			
525A CJ2, 525B CJ3	Tool	pitot connectors	P86892-4	Nav-Aids	Needed For Standard Inspections	Stage 2	$1,112.27		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/P86892-4			In Research			
525C CJ4	Tool	pressurization control breakout box	8788004-1	Cessna	Need For Advanced Troubleshooting	Stage 2	$2,564.00		$0.00	https://aeroval.com/ref/474634/8788001-8/			In Research			
525A CJ2, 525B CJ3	Tool	rudder check fixture	CJMD8A27-001	Cessna	Needed For Standard Inspections	Stage 2	$10,505.60		$0.00	https://www.airpowerinc.com/cjmd8c27-001?srsltid=AfmBOopXTOm1EysrQVlJ8XPJ10io6tCmZ4UP9Wy_JVQHrnpADZszTj_p			In Research			
525A CJ2, 525B CJ3, 525C CJ4	Tool	rudder pedal tension/clamping	CJMDL27-004	Cessna	Needed For Standard Inspections	Stage 2	$2,400.00		$0.00	Textron			In Research			
525A CJ2, 525B CJ3	Tool	rudder pedal torque tool	CJMD332-101	Cessna	Needed For Standard Inspections	Stage 2	$838.30		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMD332-101			In Research			
525A CJ2, 525B CJ3	Tool	rudder trim tab check fixture	CJMD827-003	Cessna	Needed For Standard Inspections	Stage 2	$978.02		$0.00	https://www.airpowerinc.com/cjmd332-101?srsltid=AfmBOopVsyuG_PsT4RMmrC4892UhyXqd8pDJ5HLbKv2ZRg3GS1Tw6V0-			In Research			
525 CJ1, 525A CJ2, 525B CJ3	Tool	Transponder Ramp Test Set	ATC 601		Needed For Standard Inspections	Stage 2			$0.00				Own Equivilent		Not needed, alternate on hand	
